state[0],state[1],state[2],action[0],action[1]
0.19998752,-0.192234048,1.576644133,0.49520105,0.16971497
0.199973041,-0.189758085,1.579472778,0.4934057,0.2569004
0.199951637,-0.18729115,1.583793454,0.49875903,0.35001078
0.199919225,-0.184797565,1.589862366,0.5205334,0.46179882
0.199869606,-0.182195371,1.598497861,0.5545307,0.5764194
0.199792809,-0.179423782,1.610513855,0.6012015,0.6879488
0.199673449,-0.176420145,1.626984641,0.6641041,0.82040924
0.199486973,-0.173104865,1.65072843,0.70184934,0.9201509
0.19920677,-0.169606823,1.681461825,0.72850037,0.9638965
0.198804493,-0.165986603,1.7164364,0.7631968,1.0065622
0.198250695,-0.162211017,1.756634466,0.78747916,1.0085543
0.197523181,-0.158341417,1.798294927,0.7832759,1.0235255
0.196639876,-0.154525948,1.841142093,0.77885747,1.0318506
0.19559985,-0.150773107,1.884556851,0.77299726,1.0208861
0.194406969,-0.14709681,1.926591668,0.76903844,1.0115495
0.19306755,-0.143492444,1.967548018,0.76609457,1.0047486
0.191587362,-0.139959518,2.007737222,0.76133066,0.9938434
0.189976501,-0.136510498,2.046730501,0.7563563,0.984716
0.188243806,-0.133149004,2.08470628,0.7607407,0.98592114
0.186373959,-0.129836629,2.123002272,0.7723526,0.99230003
0.184348208,-0.126548842,2.16242684,0.7812264,0.99590456
0.182169699,-0.123306626,2.202620093,0.7851929,0.9945366
0.179850956,-0.120138562,2.242896573,0.7858553,0.98989946
0.177404467,-0.117063841,2.282800808,0.7850312,0.96314466
0.174839956,-0.114092287,2.320428951,0.7841134,0.9296322
0.1721686,-0.11122267,2.355448638,0.7782569,0.88731194
0.169419099,-0.108469065,2.387301047,0.7610628,0.80732405
0.166645951,-0.10586329,2.413807397,0.74346113,0.7568704
0.163870426,-0.103390473,2.437214338,0.7218149,0.70251536
0.16112026,-0.10105338,2.457583891,0.6954374,0.6402587
0.158425281,-0.098856128,2.474852668,0.6752016,0.59047776
0.155772272,-0.096768312,2.489937748,0.66501874,0.56253815
0.153128553,-0.094751633,2.503914025,0.6564486,0.5392504
0.150491336,-0.092797609,2.51700823,0.642414,0.53283226
0.147885686,-0.090919318,2.529636545,0.6254169,0.5100064
0.145326086,-0.089122903,2.5412978,0.60857093,0.47847313
0.142815216,-0.087404038,2.551819417,0.60122573,0.45823267
0.140316923,-0.085732111,2.561704561,0.59402585,0.4388339
0.137832338,-0.084104688,2.570998229,0.587028,0.41952285
0.135362183,-0.082519323,2.579725386,0.5808964,0.3940912
0.132904231,-0.08097191,2.58777749,0.57638645,0.37552488
0.130453078,-0.079456199,2.595351841,0.5707545,0.3508141
0.128014577,-0.077973724,2.60231412,0.56122965,0.31531835
0.125606679,-0.076532719,2.608416588,0.5523134,0.28261283
0.123228425,-0.075129095,2.613762711,0.54363537,0.25252676
0.120880187,-0.073760058,2.618438613,0.5349718,0.22455603
0.118563096,-0.072423659,2.622511677,0.52724266,0.199494
0.116274137,-0.07111588,2.626064999,0.5213705,0.17140709
0.11400609,-0.069830718,2.629073406,0.52060294,0.12199308
0.111737532,-0.068554266,2.63120097,0.5205124,0.064246476
0.109466658,-0.067282865,2.632317209,0.52012116,0.015974645
0.107196074,-0.066014953,2.632594191,0.5196854,-0.022151282
0.104927042,-0.064748732,2.632210405,0.51889014,-0.05501426
0.102661968,-0.063483579,2.631257898,0.5177751,-0.08315505
0.100402964,-0.062218993,2.629819394,0.51637644,-0.10708461
0.098151879,-0.060954583,2.627969117,0.51472753,-0.12727953
0.095910318,-0.059690061,2.625773438,0.5129213,-0.14294122
0.093679395,-0.058425075,2.623312736,0.5114054,-0.15015617
0.091458176,-0.057158358,2.620733634,0.5100118,-0.15919319
0.089246275,-0.055889384,2.618004192,0.50783473,-0.16138697
0.087047273,-0.054619819,2.615248293,0.5053724,-0.15793303
0.084862424,-0.053350385,2.61256545,0.51961565,-0.13192262
0.082619507,-0.052039151,2.610267133,0.53881997,-0.10304151
0.080296826,-0.050674114,2.608409861,0.55320114,-0.08993982
0.077914759,-0.049268217,2.606746881,0.5599333,-0.095920265
0.075506074,-0.047841203,2.604951072,0.564299,-0.10404945
0.073081195,-0.046398707,2.602986812,0.5689289,-0.11490303
0.070639282,-0.044939576,2.600798116,0.5724078,-0.10691895
0.068185656,-0.043466149,2.598750265,0.5716375,-0.066468135
0.065738351,-0.041989689,2.597481874,0.5691064,-0.030012893
0.063303748,-0.040516679,2.596912352,0.5608241,0.01943935
0.060905403,-0.039063738,2.5972758,0.5514728,0.060678203
0.05854653,-0.037635882,2.598392583,0.53979105,0.08903651
0.056236065,-0.036240851,2.599998867,0.5277595,0.112604834
0.053974911,-0.034880545,2.601988225,0.5157263,0.13289167
0.051762672,-0.033555653,2.604286293,0.5037226,0.14992388
0.049598955,-0.032266567,2.60682266,0.48985645,0.15962565
0.047491627,-0.031018307,2.609451481,0.47406697,0.14989594
0.045449056,-0.029815647,2.611838073,0.45712203,0.13467199
0.043476732,-0.028660679,2.61390262,0.44170606,0.11391876
0.041568623,-0.027548598,2.615587201,0.42416275,0.07913584
0.039734501,-0.026483774,2.616708425,0.4077865,0.048126906
0.037970046,-0.025462039,2.617363114,0.40598613,0.008870018
0.036212715,-0.024445965,2.617483154,0.42515993,-0.02756656
0.034372262,-0.023382125,2.617092381,0.4483155,-0.058847077
0.03243201,-0.022259587,2.616211963,0.49345917,0.03404458
0.030297471,-0.021022133,2.616772166,0.5580451,0.20430616
0.027882771,-0.019624069,2.620626343,0.6494285,0.4813326
0.025066399,-0.018007906,2.631933019,0.74040097,0.8688638
0.021834879,-0.016201772,2.661119527,0.816693,1.1403816
